public_group_id,source_family_id,source_dataset,outer_fold,event_type,windows
grp_819506ea58d15d256bb5,grp_819506ea58d15d256bb5,GMDCSA24,1,normal,32
grp_af47a3cb1e923c544893,grp_af47a3cb1e923c544893,GMDCSA24,2,normal,75
grp_2efefcadf737c2dcb9d9,grp_2efefcadf737c2dcb9d9,GMDCSA24,3,normal,62
grp_9901ee2dacecd63028e3,grp_9901ee2dacecd63028e3,GMDCSA24,2,normal,179
grp_22ef63109018ae766df4,grp_22ef63109018ae766df4,GMDCSA24,3,normal,117
grp_36534724572b4310c154,grp_36534724572b4310c154,GMDCSA24,2,normal,230
grp_aa5fcdb6d65dcc50cd5b,grp_aa5fcdb6d65dcc50cd5b,URFD,0,normal,24
grp_7fa33f99677903059ff5,grp_7fa33f99677903059ff5,URFD,1,normal,19
grp_3ef872ce84d551b2e79e,grp_3ef872ce84d551b2e79e,URFD,1,normal,31
grp_0181727c1f0c5511d82d,grp_0181727c1f0c5511d82d,MCFDHardNeg,3,normal,317
